state_id,store_id,Cultural_event,revenue
CA,CA_4,Cinco De Mayo,40592.600000000144
CA,CA_4,Easter,39646.54000000022
CA,CA_4,Father's day,31946.579999999638
CA,CA_4,Halloween,29960.47999999958
CA,CA_4,Mother's day,38226.029999999984
CA,CA_4,StPatricksDay,37327.03000000005
CA,CA_4,ValentinesDay,32993.42999999958
TX,TX_1,Cinco De Mayo,54282.4100000009
TX,TX_3,Easter,57691.32000000093
TX,TX_1,Father's day,48582.22000000052
TX,TX_1,Halloween,35928.809999999896
TX,TX_1,Mother's day,58696.71000000112
TX,TX_1,StPatricksDay,52018.12000000066
TX,TX_1,ValentinesDay,50208.08000000035
WI,WI_1,Cinco De Mayo,46833.3000000006
WI,WI_1,Easter,39800.12000000003
WI,WI_1,Father's day,37987.50000000006
WI,WI_3,Halloween,37861.81
WI,WI_1,Mother's day,47003.050000000236
WI,WI_1,StPatricksDay,43613.90000000031
WI,WI_1,ValentinesDay,52305.94000000059
