state_id,store_id,dept_id,revenue
CA,CA_2,FOODS_1,2010773.35999894
CA,CA_3,FOODS_2,4167539.279996812
CA,CA_3,FOODS_3,12646452.020057546
CA,CA_3,HOBBIES_1,3342906.9599970705
CA,CA_3,HOBBIES_2,175005.3800000506
CA,CA_3,HOUSEHOLD_1,7986524.750006927
CA,CA_3,HOUSEHOLD_2,2929043.1199998856
TX,TX_2,FOODS_1,1337524.0999994385
TX,TX_2,FOODS_2,2678362.8299990525
TX,TX_2,FOODS_3,8310352.820030332
TX,TX_2,HOBBIES_1,2608306.939997193
TX,TX_2,HOBBIES_2,161403.07000004986
TX,TX_2,HOUSEHOLD_1,4629691.880001534
TX,TX_2,HOUSEHOLD_2,1527144.7999967604
WI,WI_2,FOODS_1,1301494.659999498
WI,WI_2,FOODS_2,3757961.959997923
WI,WI_3,FOODS_3,7449624.490025756
WI,WI_1,HOBBIES_1,2307353.5999971973
WI,WI_1,HOBBIES_2,112031.43000002461
WI,WI_2,HOUSEHOLD_1,4156316.2499996237
WI,WI_1,HOUSEHOLD_2,1162718.0099979045
