revenue,sale_quantity
3334.559999999956,1551
8343.519999999977,944
4797.980000000013,1621
29878.879999999914,16305
7619.299999999973,2289
6547.389999999877,2975
1600.1799999999935,464
2241.8799999999983,938
1791.4900000000007,333
3046.099999999997,1195
28773.379999999837,5355
3810.630000000012,2598
1170.1200000000088,1194
4248.519999999976,1362
4959.440000000088,2429
2065.3200000000056,895
18789.63999999994,19160
8299.859999999957,8055
5571.99999999999,2092
7342.1599999999635,7492
589.0400000000003,129
13887.009999999944,2605
10743.399999999938,2316
3609.0400000000022,883
7066.679999999929,1016
5526.320000000032,3026
3597.220000000008,1279
1728.9400000000019,431
3293.810000000001,1056
7206.779999999986,2131
14895.579999999905,15159
3192.6499999999987,584
3327.329999999999,607
3612.7799999999966,1416
6715.4400000000105,3845
6781.079999999885,2134
9654.299999999937,1062
2658.560000000014,1072
7944.460000000022,4330
4167.299999999952,1863
3841.6000000000336,3920
24097.9999999999,13188
10986.459999999926,4010
9615.030000000042,5226
13833.739999999903,14109
6662.799999999993,2005
3623.8800000000097,606
4272.539999999982,1939
6171.359999999968,1032
4013.1899999999655,1037
1515.0800000000145,1546
4182.78999999998,751
6773.339999999967,3588
21354.81999999983,5556
1115.5200000000032,498
1123.2400000000034,494
10750.23999999993,5889
2362.139999999996,498
1060.0799999999967,631
6988.8799999998755,3238
4614.850000000032,1158
3776.929999999954,1717
7743.65999999998,2960
4308.059999999978,1293
3569.529999999996,2629
10772.539999999992,5437
2932.0199999999863,819
3849.3600000000024,1537
1088.7800000000054,1111
2604.060000000003,1311
3699.5799999999986,769
4569.579999999993,2311
6816.299999999921,3048
5984.46,1795
8466.810000000009,1552
905.3699999999985,292
1897.0000000000066,565
446.1599999999999,82
11526.619999999923,1544
9329.679999999997,1728
4542.300000000029,4635
5724.319999999991,2887
606.6200000000006,112
20485.23999999991,20869
18270.77000000006,10858
18562.2099999999,3421
14814.97999999991,3095
1323.000000000004,387
5710.659999999999,1715
3431.8599999999747,1479
3441.6400000000126,1879
2028.5900000000006,380
5412.019999999989,1633
1219.7300000000007,411
3608.029999999991,614
2061.920000000019,2104
586.74,130
13135.91999999997,13404
2210.6300000000074,1114
2415.7599999999884,1374
10829.640000000114,2796
11768.740000000136,3485
3830.280000000035,2021
8461.840000000038,2573
1896.0300000000007,348
4455.0,1782
2141.680000000002,962
17454.01999999987,9504
2033.2000000000046,340
9007.01999999984,4549
5512.499999999975,5625
5708.779999999995,1707
4940.399999999966,1380
2364.800000000002,935
4280.879999999942,1995
1323.9800000000075,1351
2906.13999999998,862
6077.040000000044,3340
1794.3999999999962,1447
1720.620000000007,869
5597.57999999999,1684
3925.9999999999413,1837
2872.0200000000095,559
1500.2200000000046,656
5853.679999999974,2959
5317.770000000084,1386
4844.2899999999845,823
5931.36000000001,3359
1491.3399999999997,523
2782.380000000002,1515
5029.12999999992,1680
2324.520000000013,1174
2055.860000000007,822
5546.749999999928,1202
9925.289999999997,5013
3142.440000000002,1258
3780.840000000045,3858
9284.639999999883,1338
4468.099999999983,1341
2409.6300000000074,1642
2809.3100000000118,1420
11438.65999999979,1642
2084.4600000000205,2127
3617.4599999999555,1617
2886.9600000000055,622
1525.6099999999988,334
1364.160000000011,1392
11476.639999999968,2392
4290.340000000013,375
14609.07999999976,1831
7762.519999999973,4099
7162.940000000019,4856
2208.9200000000196,2254
2415.6399999999962,1037
1322.2100000000028,279
3989.1599999999744,855
1082.7399999999989,229
562.2400000000013,251
16868.339999999902,17209
12790.379999999863,6915
3658.3400000000165,3733
1066.8299999999997,199
9148.729999999885,4276
7609.929999999876,1649
