state_id,store_id,dept_id,revenue
CA,CA_1,FOODS_3,9482301.32003847
CA,CA_1,HOUSEHOLD_1,4412054.159999337
CA,CA_1,HOBBIES_1,3159434.249996981
CA,CA_2,FOODS_3,5759137.2400076715
CA,CA_2,HOUSEHOLD_1,4459755.820000345
CA,CA_2,HOUSEHOLD_2,2504385.3199976976
CA,CA_3,FOODS_3,12646452.020057546
CA,CA_3,HOUSEHOLD_1,7986524.750006927
CA,CA_3,FOODS_2,4167539.279996812
CA,CA_4,FOODS_3,4787417.529999931
CA,CA_4,HOUSEHOLD_1,2236726.0299946447
CA,CA_4,HOBBIES_1,1894239.139998075
TX,TX_1,FOODS_3,6213987.230015308
TX,TX_1,HOUSEHOLD_1,4023754.570000061
TX,TX_1,FOODS_2,2140938.9099983578
TX,TX_2,FOODS_3,8310352.820030332
TX,TX_2,HOUSEHOLD_1,4629691.880001534
TX,TX_2,FOODS_2,2678362.8299990525
TX,TX_3,FOODS_3,6757122.290019018
TX,TX_3,HOUSEHOLD_1,4159759.3599995025
TX,TX_3,HOBBIES_1,2521762.78999783
WI,WI_1,FOODS_3,5342014.25000344
WI,WI_1,HOUSEHOLD_1,3140731.549997249
WI,WI_1,HOBBIES_1,2307353.5999971973
WI,WI_2,FOODS_3,6827132.700017043
WI,WI_2,HOUSEHOLD_1,4156316.2499996237
WI,WI_2,FOODS_2,3757961.959997923
WI,WI_3,FOODS_3,7449624.490025756
WI,WI_3,HOUSEHOLD_1,3689797.749999535
WI,WI_3,FOODS_2,2698588.7999977805
