state_id,store_id,National_event,revenue
CA,CA_1,Christmas,0.0
CA,CA_4,ColumbusDay,34833.93999999982
CA,CA_4,IndependenceDay,28271.46999999965
CA,CA_4,LaborDay,37602.84999999999
CA,CA_4,MartinLutherKingDay,34594.25999999973
CA,CA_4,MemorialDay,33394.47999999967
CA,CA_4,NewYear,44928.740000000245
CA,CA_4,PresidentsDay,39005.22999999997
CA,CA_4,Thanksgiving,18961.969999999703
CA,CA_4,VeteransDay,31287.499999999654
TX,TX_1,Christmas,3.16
TX,TX_1,ColumbusDay,42784.810000000114
TX,TX_1,IndependenceDay,41617.730000000156
TX,TX_1,LaborDay,48344.380000000434
TX,TX_1,MartinLutherKingDay,41831.48000000026
TX,TX_1,MemorialDay,40929.05000000015
TX,TX_1,NewYear,69902.66000000118
TX,TX_1,PresidentsDay,49740.01000000061
TX,TX_3,Thanksgiving,29996.96999999979
TX,TX_1,VeteransDay,39999.78000000028
WI,WI_1,Christmas,5.2299999999999995
WI,WI_1,ColumbusDay,32205.709999999577
WI,WI_1,IndependenceDay,31649.359999999644
WI,WI_1,LaborDay,42004.81000000015
WI,WI_1,MartinLutherKingDay,36012.15999999987
WI,WI_2,MemorialDay,31753.02999999968
WI,WI_3,NewYear,58470.360000001274
WI,WI_1,PresidentsDay,37924.019999999786
WI,WI_1,Thanksgiving,17430.229999999756
WI,WI_1,VeteransDay,38972.74000000003
