state_id,store_id,event,revenue,sale_quantity
CA,CA_1,NBAFinalsEnd,58233.01000000099,19641.0
CA,CA_1,NBAFinalsStart,48058.24000000047,16663.0
CA,CA_1,SuperBowl,83383.00000000105,28679.0
CA,CA_2,NBAFinalsEnd,43572.030000000384,14558.0
CA,CA_2,NBAFinalsStart,37378.370000000046,12610.0
CA,CA_2,SuperBowl,61997.52000000112,20083.0
CA,CA_3,NBAFinalsEnd,80139.79000000097,28625.0
CA,CA_3,NBAFinalsStart,77011.36000000082,27777.0
CA,CA_3,SuperBowl,118549.35000000196,41208.0
CA,CA_4,NBAFinalsEnd,31456.209999999664,10539.0
CA,CA_4,NBAFinalsStart,30185.639999999636,10483.0
CA,CA_4,SuperBowl,43410.410000000316,14719.0
TX,TX_1,NBAFinalsEnd,41431.390000000254,15068.0
TX,TX_1,NBAFinalsStart,37913.170000000086,14033.0
TX,TX_1,SuperBowl,63893.63000000109,22271.0
TX,TX_2,NBAFinalsEnd,50941.31000000066,18601.0
TX,TX_2,NBAFinalsStart,48752.110000000655,18154.0
TX,TX_2,SuperBowl,81439.86000000137,28396.0
TX,TX_3,NBAFinalsEnd,42769.850000000464,15502.0
TX,TX_3,NBAFinalsStart,41747.14000000021,14743.0
TX,TX_3,SuperBowl,70203.44000000115,23894.0
WI,WI_1,NBAFinalsEnd,35324.179999999884,12688.0
WI,WI_1,NBAFinalsStart,33812.44999999965,12133.0
WI,WI_1,SuperBowl,49658.46000000053,16931.0
WI,WI_2,NBAFinalsEnd,41913.0700000001,15932.0
WI,WI_2,NBAFinalsStart,46977.30000000043,17467.0
WI,WI_2,SuperBowl,60711.32000000061,23114.0
WI,WI_3,NBAFinalsEnd,42325.75000000018,16667.0
WI,WI_3,NBAFinalsStart,39860.26000000024,15309.0
WI,WI_3,SuperBowl,69780.65000000117,26249.0
CA,CA_1,Cinco De Mayo,72944.70000000078,24814.0
CA,CA_1,Easter,74856.5400000012,25544.0
CA,CA_1,Father's day,63715.20000000098,22256.0
CA,CA_1,Halloween,50213.670000000275,16767.0
CA,CA_1,Mother's day,78977.6200000012,26319.0
CA,CA_1,StPatricksDay,66753.11000000153,22356.0
CA,CA_1,ValentinesDay,61936.35000000095,21462.0
CA,CA_2,Cinco De Mayo,55987.6300000012,18154.0
CA,CA_2,Easter,72404.64000000128,23000.0
CA,CA_2,Father's day,51547.54000000074,17226.0
CA,CA_2,Halloween,43801.30000000011,14151.0
CA,CA_2,Mother's day,62587.000000001324,19902.0
CA,CA_2,StPatricksDay,55674.83000000129,18454.0
CA,CA_2,ValentinesDay,50614.170000000544,16326.0
CA,CA_3,Cinco De Mayo,102759.62000000116,35050.0
CA,CA_3,Easter,113937.81000000166,38143.0
CA,CA_3,Father's day,89348.72000000118,32242.0
CA,CA_3,Halloween,70747.92000000083,24232.0
CA,CA_3,Mother's day,107980.68000000183,36788.0
CA,CA_3,StPatricksDay,101086.19000000147,34496.0
CA,CA_3,ValentinesDay,89183.69000000136,30255.0
CA,CA_4,Cinco De Mayo,40592.600000000144,13374.0
CA,CA_4,Easter,39646.54000000022,13595.0
CA,CA_4,Father's day,31946.579999999638,11049.0
CA,CA_4,Halloween,29960.47999999958,10147.0
CA,CA_4,Mother's day,38226.029999999984,12846.0
CA,CA_4,StPatricksDay,37327.03000000005,12094.0
CA,CA_4,ValentinesDay,32993.42999999958,11269.0
TX,TX_1,Cinco De Mayo,54282.4100000009,19128.0
TX,TX_1,Easter,70280.37000000103,24227.0
TX,TX_1,Father's day,48582.22000000052,18580.0
TX,TX_1,Halloween,35928.809999999896,12579.0
TX,TX_1,Mother's day,58696.71000000112,20263.0
TX,TX_1,StPatricksDay,52018.12000000066,17728.0
TX,TX_1,ValentinesDay,50208.08000000035,17338.0
TX,TX_2,Cinco De Mayo,66467.8900000012,23170.0
TX,TX_2,Easter,77673.11000000128,26991.0
TX,TX_2,Father's day,60650.47000000117,22029.0
TX,TX_2,Halloween,44266.9400000004,15430.0
TX,TX_2,Mother's day,70049.73000000117,24048.0
TX,TX_2,StPatricksDay,66140.08000000122,22758.0
TX,TX_2,ValentinesDay,65526.14000000132,22209.0
TX,TX_3,Cinco De Mayo,60037.090000001095,19952.0
TX,TX_3,Easter,57691.32000000093,19633.0
TX,TX_3,Father's day,50933.41000000052,18300.0
TX,TX_3,Halloween,40372.88000000012,13844.0
TX,TX_3,Mother's day,61946.09000000072,20700.0
TX,TX_3,StPatricksDay,56468.3500000008,18835.0
